STA_CODE,STATE_CODE,SUB_CODE_7,SUB_NAME_7,REG_CODE_7,REG_NAME_7,CMZ_ID,CM_ZONE
NSW,3,DRP07,Menindee,DRP,Darling Riverine Plains,14,South Eastern Australia Mallee Woodlands
NSW,3,DRP08,Great Darling Anabranch,DRP,Darling Riverine Plains,14,South Eastern Australia Mallee Woodlands
NSW,3,DRP09,Pooncarie-Darling,DRP,Darling Riverine Plains,14,South Eastern Australia Mallee Woodlands
NSW,3,MDD01,South Olary Plain,MDD,Murray Darling Depression,14,South Eastern Australia Mallee Woodlands
NSW,3,MDD02,Murray Mallee,MDD,Murray Darling Depression,14,South Eastern Australia Mallee Woodlands
NSW,3,MDD06,Darling Depression,MDD,Murray Darling Depression,14,South Eastern Australia Mallee Woodlands
NSW,3,MDD07,Braemer,MDD,Murray Darling Depression,14,South Eastern Australia Mallee Woodlands
NSW,3,MUL03,Nebine Plains,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL05,Warrego Plains,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL07,Cuttaburra-Paroo,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL08,West Warrego,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL11,Urisino Sandplains,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL12,Warrego Sands,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL13,Kerribree Basin,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL14,White Cliffs Plateau,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL15,Paroo Overflow,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,MUL16,Paroo-Darling Sands,MUL,Mulga Lands,5,Eastern Australia Mulga Shrublands
NSW,3,NAN01,Nandewar Northern Complex,NAN,Nandewar,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NAN02,Inverell Basalts,NAN,Nandewar,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NAN03,Kaputar,NAN,Nandewar,3,Brigalow Woodlands
NSW,3,NAN04,Peel,NAN,Nandewar,3,Brigalow Woodlands
NSW,3,NET01,Bundarra Downs,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET02,Beardy River Hills,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET03,Walcha Plateau,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET04,Armidale Plateau,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET05,Wongwibinda Plateau,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET06,Deepwater Downs,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET07,Glenn Innes-Guyra Basalts,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET08,Ebor Basalts,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET09,Moredun Volcanics,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET10,Severn River Volcanics,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET11,Northeast Forest Lands,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET12,Tenterfield Plateau,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET13,Yarrowyck-Kentucky Downs,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET14,Binghi Plateau,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET15,Stanthorpe Plateau,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET16,Eastern Nandewars,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET17,Tingha Plateau,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET18,Nightcap,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NET19,Round Mountain,NET,New England Tablelands,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC01,Washpool,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC02,Cataract,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC03,Dalmorton,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC04,Chaelundi,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC05,Yuraygir,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC06,Coffs Coast and Escarpment,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC07,Macleay Hastings,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC08,Carrai Plateau,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC09,Macleay Gorges,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC10,Upper Manning,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC11,Comboyne Plateau,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC12,Mummel Escarpment,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC13,Barrington,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC14,Tomalla,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC15,Ellerston,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC16,Upper Hunter,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC17,Karuah Manning,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC18,Rocky River Gorge,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NNC19,Guy Fawkes,NNC,NSW North Coast,6,Eastern Australia Temperate and Subtropical forests
NSW,3,NSS01,Inland Slopes,NSS,NSW South Western Slopes,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,NSS02,Lower Slopes,NSS,NSW South Western Slopes,16,South Eastern Australia Temperate Woodlands
NSW,3,NSS03,Capertee Valley,NSS,NSW South Western Slopes,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,RIV01,Lachlan,RIV,Riverina,16,South Eastern Australia Temperate Woodlands
NSW,3,RIV02,Murrumbidgee,RIV,Riverina,16,South Eastern Australia Temperate Woodlands
NSW,3,RIV03,Murray Fans,RIV,Riverina,16,South Eastern Australia Temperate Woodlands
NSW,3,RIV05,Robinvale Plains,RIV,Riverina,16,South Eastern Australia Temperate Woodlands
NSW,3,RIV06,Murray Scroll Belt,RIV,Riverina,14,South Eastern Australia Mallee Woodlands
NSW,3,SEC01,East Gippsland Lowlands,SEC,South East Corner,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEC02,South East Coastal Ranges,SEC,South East Corner,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEC03,Bateman,SEC,South East Corner,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH02,Highlands-Northern Fall,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH06,Murrumbateman,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH07,Bungonia,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH08,Kanangra,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH09,Crookwell,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH10,Oberon,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH11,Bathurst,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH12,Orange,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH13,Hill End,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH14,Bondo,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH15,Kybeyan-Gourock,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH16,Monaro,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEH17,Capertee Uplands,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SEQ03,Burringbar-Conondale Ranges,SEQ,South Eastern Queensland,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SEQ04,Sunshine Coast-Gold Coast Lowlands,SEQ,South Eastern Queensland,8,Eastern Australia Tropical Rainforests
NSW,3,SEQ10,Scenic Rim,SEQ,South Eastern Queensland,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SEQ11,Woodenbong,SEQ,South Eastern Queensland,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SEQ12,Clarence Sandstones,SEQ,South Eastern Queensland,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SEQ13,Clarence Lowlands,SEQ,South Eastern Queensland,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SSD05,Strzelecki Desert,SSD,Simpson Strzelecki Dunefields,1,Arid Shrublands and Desert
NSW,3,SYB01,Kerrabee,SYB,Sydney Basin,3,Brigalow Woodlands
NSW,3,SYB01,Kerrabee,SYB,Sydney Basin,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
NSW,3,SYB02,Hunter,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB04,Wollemi,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB05,Yengo,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB06,Wyong,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB07,Pittwater,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB08,Cumberland,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB09,Burragorang,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB10,Sydney Cataract,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB11,Moss Vale,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB12,Illawarra,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB13,Ettrema,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,SYB14,Jervis,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NT,4,ARC01,Murgenella,ARC,Arnhem Coast,12,North Australian Tropical Savanna Woodlands
NT,4,ARC02,Maningrida,ARC,Arnhem Coast,12,North Australian Tropical Savanna Woodlands
NT,4,ARC03,Nhulunbuy,ARC,Arnhem Coast,12,North Australian Tropical Savanna Woodlands
NT,4,ARC04,Groote,ARC,Arnhem Coast,12,North Australian Tropical Savanna Woodlands
NT,4,ARC05,Wessels,ARC,Arnhem Coast,12,North Australian Tropical Savanna Woodlands
NT,4,ARP01,Alligator,ARP,Arnhem Plateau,12,North Australian Tropical Savanna Woodlands
NT,4,ARP02,Mainoru,ARP,Arnhem Plateau,12,North Australian Tropical Savanna Woodlands
NT,4,BRT01,Yuendumu,BRT,Burt Plain,1,Arid Shrublands and Desert
NT,4,BRT02,Atartinga,BRT,Burt Plain,1,Arid Shrublands and Desert
NT,4,BRT03,Mount Chapple,BRT,Burt Plain,1,Arid Shrublands and Desert
NT,4,BRT04,Dulcie,BRT,Burt Plain,1,Arid Shrublands and Desert
NT,4,CEA01,Wilton,CEA,Central Arnhem,12,North Australian Tropical Savanna Woodlands
NT,4,CEA02,Parson,CEA,Central Arnhem,12,North Australian Tropical Savanna Woodlands
NT,4,CER01,Mann-Musgrave Block,CER,Central Ranges,1,Arid Shrublands and Desert
NT,4,CHC01,Toko Plains,CHC,Channel Country,1,Arid Shrublands and Desert
NT,4,CHC01,Toko Plains,CHC,Channel Country,9,Mitchell Grasslands
NT,4,DAB01,Daly Basin,DAB,Daly Basin,12,North Australian Tropical Savanna Woodlands
NT,4,DAC01,Darwin Coastal,DAC,Darwin Coastal,12,North Australian Tropical Savanna Woodlands
NT,4,DMR01,Ashburton Range,DMR,Davenport Murchison Ranges,1,Arid Shrublands and Desert
NT,4,DMR01,Ashburton Range,DMR,Davenport Murchison Ranges,9,Mitchell Grasslands
NT,4,DMR02,Davenport,DMR,Davenport Murchison Ranges,1,Arid Shrublands and Desert
NT,4,DMR03,Barkly,DMR,Davenport Murchison Ranges,1,Arid Shrublands and Desert
NT,4,DMR03,Barkly,DMR,Davenport Murchison Ranges,9,Mitchell Grasslands
NT,4,FIN01,Henbury,FIN,Finke,1,Arid Shrublands and Desert
NT,4,FIN02,Finke River,FIN,Finke,1,Arid Shrublands and Desert
NT,4,FIN03,Tieyon,FIN,Finke,1,Arid Shrublands and Desert
NT,4,GFU01,McArthur,GFU,Gulf Fall and Uplands,12,North Australian Tropical Savanna Woodlands
NT,4,GFU02,Nicholson,GFU,Gulf Fall and Uplands,12,North Australian Tropical Savanna Woodlands
NT,4,GSD02,Mackay,GSD,Great Sandy Desert,1,Arid Shrublands and Desert
NT,4,GSD03,Ehrenberg,GSD,Great Sandy Desert,1,Arid Shrublands and Desert
NT,4,GSD04,Amedeus,GSD,Great Sandy Desert,1,Arid Shrublands and Desert
NT,4,GSD05,Lake Bennett,GSD,Great Sandy Desert,1,Arid Shrublands and Desert
NT,4,GSD06,Lake Lewis,GSD,Great Sandy Desert,1,Arid Shrublands and Desert
NT,4,GUC01,Limmen,GUC,Gulf Coastal,12,North Australian Tropical Savanna Woodlands
NT,4,GUC02,Pellews,GUC,Gulf Coastal,12,North Australian Tropical Savanna Woodlands
NT,4,GUP07,Doomadgee Plains,GUP,Gulf Plains,12,North Australian Tropical Savanna Woodlands
NT,4,MAC01,McDonnell,MAC,MacDonnell Ranges,1,Arid Shrublands and Desert
NT,4,MAC02,Watarrka,MAC,MacDonnell Ranges,1,Arid Shrublands and Desert
NT,4,MAC03,Hartz Range,MAC,MacDonnell Ranges,1,Arid Shrublands and Desert
NT,4,MGD01,Sylvester,MGD,Mitchell Grass Downs,9,Mitchell Grasslands
NT,4,MGD02,Barkly Tableland,MGD,Mitchell Grass Downs,9,Mitchell Grasslands
NT,4,MGD03,Georgina Limestone,MGD,Mitchell Grass Downs,9,Mitchell Grasslands
NT,4,MII02,Thorntonia,MII,Mount Isa Inlier,9,Mitchell Grasslands
NT,4,OVP01,Purnululu,OVP,Ord Victoria Plain,12,North Australian Tropical Savanna Woodlands
NT,4,OVP02,South Kimberley Interzone,OVP,Ord Victoria Plain,12,North Australian Tropical Savanna Woodlands
NT,4,OVP03,Gregory,OVP,Ord Victoria Plain,12,North Australian Tropical Savanna Woodlands
NT,4,OVP04,Camfield,OVP,Ord Victoria Plain,12,North Australian Tropical Savanna Woodlands
NT,4,PCK01,Pine Creek,PCK,Pine Creek,12,North Australian Tropical Savanna Woodlands
NT,4,SSD01,Andado,SSD,Simpson Strzelecki Dunefields,1,Arid Shrublands and Desert
NT,4,SSD02,Simpson Desert,SSD,Simpson Strzelecki Dunefields,1,Arid Shrublands and Desert
NT,4,SSD03,Dieri,SSD,Simpson Strzelecki Dunefields,1,Arid Shrublands and Desert
NT,4,STP01,Breakaways,STP,Stony Plains,1,Arid Shrublands and Desert
NT,4,STP06,Witjira,STP,Stony Plains,1,Arid Shrublands and Desert
NT,4,STU01,Renehan,STU,Sturt Plateau,12,North Australian Tropical Savanna Woodlands
NT,4,STU02,Newcastle,STU,Sturt Plateau,12,North Australian Tropical Savanna Woodlands
NT,4,STU03,Birdum,STU,Sturt Plateau,12,North Australian Tropical Savanna Woodlands
NT,4,TAN01,Tanami Desert,TAN,Tanami,1,Arid Shrublands and Desert
NT,4,TAN02,Wycliffe,TAN,Tanami,1,Arid Shrublands and Desert
NT,4,TAN03,Sandover,TAN,Tanami,1,Arid Shrublands and Desert
NT,4,TIW01,Tiwi,TIW,Tiwi Cobourg,12,North Australian Tropical Savanna Woodlands
NT,4,TIW02,Cobourg,TIW,Tiwi Cobourg,12,North Australian Tropical Savanna Woodlands
NT,4,VIB01,Keep,VIB,Victoria Bonaparte,12,North Australian Tropical Savanna Woodlands
NT,4,VIB02,Hermit Creek,VIB,Victoria Bonaparte,12,North Australian Tropical Savanna Woodlands
NT,4,VIB03,Angalarri,VIB,Victoria Bonaparte,12,North Australian Tropical Savanna Woodlands
QLD,5,BBN01,Townsville Plains,BBN,Brigalow Belt North,8,Eastern Australia Tropical Rainforests
QLD,5,BBN02,Bogie River Hills,BBN,Brigalow Belt North,8,Eastern Australia Tropical Rainforests
QLD,5,BBN03,Cape River Hills,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN04,Beucazon Hills,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN05,Wyarra Hills,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN06,Northern Bowen Basin,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN06,Northern Bowen Basin,BBN,Brigalow Belt North,12,North Australian Tropical Savanna Woodlands
QLD,5,BBN07,Belyando Downs,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN08,Upper Belyando Floodout,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN09,Anakie Inlier,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN10,Basalt Downs,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN11,Isaac-Comet Downs,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN12,Nebo-Connors Ranges,BBN,Brigalow Belt North,8,Eastern Australia Tropical Rainforests
QLD,5,BBN13,South Drummond Basin,BBN,Brigalow Belt North,3,Brigalow Woodlands
QLD,5,BBN14,Marlborough Plains,BBN,Brigalow Belt North,8,Eastern Australia Tropical Rainforests
QLD,5,BBS01,Claude River Downs,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS02,Woorabinda,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS03,Boomer Range,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS04,Mount Morgan Ranges,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS05,Callide Creek Downs,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS06,Arcadia,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS07,Dawson River Downs,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS08,Banana-Auburn Ranges,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS09,Buckland Basalts,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS10,Carnarvon Ranges,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS11,Taroom Downs,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS12,Southern Downs,BBS,Brigalow Belt South,7,Eastern Australia Woodlands
QLD,5,BBS13,Barakula,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS14,Dulacca Downs,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS15,Weribone High,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS16,Tara Downs,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS17,Eastern Darling Downs,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS18,Inglewood Sandstones,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS19,Moonie-Commoron Floodout,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS20,Moonie-Barwon Interfluve,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS21,Northern Basalts,BBS,Brigalow Belt South,3,Brigalow Woodlands
QLD,5,BBS28,Narrandool,BBS,Brigalow Belt South,7,Eastern Australia Woodlands
QLD,5,CHC01,Toko Plains,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC02,Sturt Stony Desert,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC03,Goneaway Tablelands,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC04,Diamantina-Eyre,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC05,Cooper-Diamantina Plains,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC06,Coongie,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC07,Lake Pure,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC08,Noccundra Slopes,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC11,Bulloo,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CHC12,Bulloo Dunefields,CHC,Channel Country,1,Arid Shrublands and Desert
QLD,5,CMC01,Whitsunday,CMC,Central Mackay Coast,8,Eastern Australia Tropical Rainforests
QLD,5,CMC02,Proserpine-Sarina Lowlands,CMC,Central Mackay Coast,8,Eastern Australia Tropical Rainforests
QLD,5,CMC03,Clarke-Connors Ranges,CMC,Central Mackay Coast,8,Eastern Australia Tropical Rainforests
QLD,5,CMC04,Byfield,CMC,Central Mackay Coast,8,Eastern Australia Tropical Rainforests
QLD,5,CMC05,Manifold,CMC,Central Mackay Coast,8,Eastern Australia Tropical Rainforests
QLD,5,CMC06,Debella,CMC,Central Mackay Coast,8,Eastern Australia Tropical Rainforests
QLD,5,CYP01,Coen-Yambo Inlier,CYP,Cape York Peninsula,12,North Australian Tropical Savanna Woodlands
QLD,5,CYP02,Starke Coastal Lowlands,CYP,Cape York Peninsula,13,North Eastern Australia Tropical Rainforests
QLD,5,CYP03,Cape York-Torres Strait,CYP,Cape York Peninsula,12,North Australian Tropical Savanna Woodlands
QLD,5,CYP04,Jardine-Pascoe Sandstones,CYP,Cape York Peninsula,12,North Australian Tropical Savanna Woodlands
QLD,5,CYP05,Battle Camp Sandstones,CYP,Cape York Peninsula,13,North Eastern Australia Tropical Rainforests
QLD,5,CYP06,Laura Lowlands,CYP,Cape York Peninsula,12,North Australian Tropical Savanna Woodlands
QLD,5,CYP07,Weipa Plateau,CYP,Cape York Peninsula,12,North Australian Tropical Savanna Woodlands
QLD,5,CYP08,Northern Holroyd Plain,CYP,Cape York Peninsula,12,North Australian Tropical Savanna Woodlands
QLD,5,CYP09,Coastal Plains,CYP,Cape York Peninsula,12,North Australian Tropical Savanna Woodlands
QLD,5,DEU01,Prairie-Torrens Creeks Alluvials,DEU,Desert Uplands,9,Mitchell Grasslands
QLD,5,DEU02,Alice Tableland,DEU,Desert Uplands,9,Mitchell Grasslands
QLD,5,DEU03,Cape-Campaspe Plains,DEU,Desert Uplands,9,Mitchell Grasslands
QLD,5,DEU04,Jericho,DEU,Desert Uplands,9,Mitchell Grasslands
QLD,5,DRP01,Culgoa-Bokhara,DRP,Darling Riverine Plains,7,Eastern Australia Woodlands
QLD,5,DRP02,Warrambool-Moonie,DRP,Darling Riverine Plains,7,Eastern Australia Woodlands
